id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
415,Aghaneenagh,Áth Naíonach,Cork,Republic of Ireland,P51,R307035,130787,103552,52.17992,-9.01256,Mallow,Cork County Council,Munster,South-West,Townland
416,Aghangaddy Glebe,,Donegal,Republic of Ireland,F92,C214187,221463,418721,55.01547,-7.66525,Letterkenny,Donegal County Council,Ulster,Border,Townland
417,Aghanlish,Achadh Sheanlis,Leitrim,Republic of Ireland,F91,G818515,181833,351570,54.41240,-8.28056,Sligo,Leitrim County Council,Connacht,Border,Townland
418,Aghanoran,Achadh an Fhuaráin,Longford,Republic of Ireland,N39,N303887,230386,288766,53.84762,-7.53906,Longford,Longford County Council,Leinster,Midland,Townland
419,Aghanrush,Achadh an Rois,Offaly,Republic of Ireland,R35,N377189,237733,218948,53.21987,-7.43585,Tullamore,Offaly County Council,Leinster,Midland,Townland
420,Aghantrah,Achadh an tSratha,Longford,Republic of Ireland,N39,N097706,209772,270641,53.68557,-7.85284,Longford,Longford County Council,Leinster,Midland,Townland
421,Aghanure,,Carlow,Republic of Ireland,R93,S719816,271990,181624,52.88103,-6.93141,Carlow,Carlow County Council,Leinster,South-East,Townland
422,Aghanure,Achadh an Iúir,Kildare,Republic of Ireland,R14,S713967,271364,196779,53.01727,-6.93738,Athy,Kildare County Council,Leinster,Mid-East,Townland
423,Aghanure,,Laois,Republic of Ireland,R14,S645878,264572,187869,52.93808,-7.04033,Athy,Laois County Council,Leinster,Midland,Townland
424,Aghanursan,,Donegal,Republic of Ireland,F92,C201269,220172,426908,55.08906,-7.68484,Letterkenny,Donegal County Council,Ulster,Border,Townland
425,Aghanvally,Achadh an Bhealaigh,Longford,Republic of Ireland,N39,N184618,218497,261857,53.60642,-7.72131,Longford,Longford County Council,Leinster,Midland,Townland
426,Aghanvilla,Achadh an Bhile,Offaly,Republic of Ireland,R35,N454181,245475,218131,53.21193,-7.32007,Tullamore,Offaly County Council,Leinster,Midland,Townland
427,Aghanvoneen,,Westmeath,Republic of Ireland,N37,N111393,211126,239374,53.40462,-7.83345,Athlone,Westmeath County Council,Leinster,Midland,Townland
428,Aghany,Achanna,Galway,Republic of Ireland,H53,M803154,180338,215455,53.18946,-8.29488,Ballinasloe,Galway County Council,Connacht,West,Townland
429,Aghany,Achanna,Mayo,Republic of Ireland,F28,L751805,75194,280596,53.76016,-9.89315,Westport,Mayo County Council,Connacht,West,Townland
430,Agharah,,Cavan,Republic of Ireland,A82,H681035,268156,303542,53.97677,-6.96199,Kells,Cavan County Council,Ulster,Border,Townland
431,Agharahan,,Cavan,Republic of Ireland,H12,H446026,244689,302658,53.97138,-7.31974,Cavan,Cavan County Council,Ulster,Border,Townland
432,Agharanagh,Achadh Raithneach,Longford,Republic of Ireland,N39,M990634,199066,263488,53.62140,-8.01486,Longford,Longford County Council,Leinster,Midland,Townland
433,Agharann,Achadh Reanna,Leitrim,Republic of Ireland,H12,H187041,218769,304172,53.98658,-7.71463,Cavan,Leitrim County Council,Connacht,Border,Townland
434,Agharanny,,Westmeath,Republic of Ireland,N37,N130378,213046,237867,53.39104,-7.80465,Athlone,Westmeath County Council,Leinster,Midland,Townland
435,Agharaskilly,,Cavan,Republic of Ireland,H14,H267170,226778,317023,54.10167,-7.59140,Belturbet,Cavan County Council,Ulster,Border,Townland
436,Aghards,,Kildare,Republic of Ireland,W23,N966337,296616,233702,53.34497,-6.55007,Maynooth,Kildare County Council,Leinster,Mid-East,Townland
437,Aghareagh,Achadh Riabhach,Longford,Republic of Ireland,N39,N331749,233160,274908,53.72295,-7.49841,Longford,Longford County Council,Leinster,Midland,Townland
438,Aghareagh,Achadh Riabhach,Monaghan,Republic of Ireland,H18,H564216,256465,321675,54.14106,-7.13678,Monaghan,Monaghan County Council,Ulster,Border,Townland
439,Aghareagh Bog,Eanach Achadh Riabhach,Longford,Republic of Ireland,N39,N098741,209811,274175,53.71732,-7.85214,Longford,Longford County Council,Leinster,Midland,Townland
440,Aghareagh East,Achadh Riabhach Thoir,Monaghan,Republic of Ireland,H16,H548168,254865,316897,54.09832,-7.16211,Cootehill,Monaghan County Council,Ulster,Border,Townland
441,Aghareagh West,Achadh Riabhach Thiar,Monaghan,Republic of Ireland,H23,H503181,250330,318171,54.11023,-7.23121,Clones,Monaghan County Council,Ulster,Border,Townland
442,Agharevagh East,,Westmeath,Republic of Ireland,N37,N164364,216426,236401,53.37777,-7.75393,Athlone,Westmeath County Council,Leinster,Midland,Townland
443,Agharevagh West,,Westmeath,Republic of Ireland,N37,N109367,210944,236797,53.38147,-7.83627,Athlone,Westmeath County Council,Leinster,Midland,Townland
444,Aghareville Lower,,Mayo,Republic of Ireland,F12,M334794,133456,279492,53.76094,-9.00972,Claremorris,Mayo County Council,Connacht,West,Townland
445,Aghareville Upper,,Mayo,Republic of Ireland,F12,M330789,133024,278935,53.75588,-9.01614,Claremorris,Mayo County Council,Connacht,West,Townland
446,Agharickard,Achadh Riocaird,Longford,Republic of Ireland,N39,N181744,218106,274484,53.71988,-7.72648,Longford,Longford County Council,Leinster,Midland,Townland
447,Agharinagh,Achadh Dhraighneach,Cork,Republic of Ireland,P12,W493741,149367,74144,51.91768,-8.73661,Macroom,Cork County Council,Munster,South-West,Townland
448,Agharoosky,Achadh Rúscaí,Leitrim,Republic of Ireland,F91,G813533,181332,353312,54.42803,-8.28837,Sligo,Leitrim County Council,Connacht,Border,Townland
449,Agharra,Eachara,Longford,Republic of Ireland,N39,N246605,224642,260582,53.59471,-7.62857,Longford,Longford County Council,Leinster,Midland,Townland
450,Agharroo,Achadh Choradh,Leitrim,Republic of Ireland,F91,G785561,178567,356113,54.45308,-8.33118,Sligo,Leitrim County Council,Connacht,Border,Townland
451,Agharrow,,Sligo,Republic of Ireland,F91,G627490,162735,349071,54.38891,-8.57436,Sligo,Sligo County Council,Connacht,Border,Townland
452,Agharue,,Carlow,Republic of Ireland,R93,S627700,262722,170018,52.77791,-7.07128,Carlow,Carlow County Council,Leinster,South-East,Townland
453,Aghasheil,,Donegal,Republic of Ireland,F93,H129961,212935,396131,54.81285,-7.79956,Lifford,Donegal County Council,Ulster,Border,Townland
454,Aghataharn,Achadh an tSathairn,Mayo,Republic of Ireland,F35,M504884,150495,288477,53.84355,-8.75283,Ballyhaunis,Mayo County Council,Connacht,West,Townland
455,Aghatamy,Achadh an tSamhaidh,Monaghan,Republic of Ireland,A81,H796037,279635,303781,53.97728,-6.78702,Carrickmacross,Monaghan County Council,Ulster,Border,Townland
456,Aghatawny Lower,Achadh Tamhnaí Íochtarach,Leitrim,Republic of Ireland,N41,H137105,213748,310504,54.04361,-7.79089,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
457,Aghatawny Upper,Achadh Tamhnaí Uachtarach,Leitrim,Republic of Ireland,N41,H135103,213563,310356,54.04229,-7.79372,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
458,Aghateeduff,,Cavan,Republic of Ireland,H12,H442095,244267,309583,54.03363,-7.32516,Cavan,Cavan County Council,Ulster,Border,Townland
459,Aghateemore Glebe,,Cavan,Republic of Ireland,H12,H510053,251084,305340,53.99488,-7.22186,Cavan,Cavan County Council,Ulster,Border,Townland
460,Aghateggal,,Cavan,Republic of Ireland,H12,N456988,245628,298805,53.93669,-7.30602,Cavan,Cavan County Council,Ulster,Border,Townland
461,Aghaterry,,Laois,Republic of Ireland,R93,S627802,262799,180210,52.86947,-7.06818,Carlow,Laois County Council,Leinster,Midland,Townland
462,Aghateskin,Achadh an tSeiscinn,Monaghan,Republic of Ireland,A75,H853097,285359,309782,54.03026,-6.69812,Castleblayney,Monaghan County Council,Ulster,Border,Townland
463,Aghathomas,,Meath,Republic of Ireland,C15,N755586,275574,258638,53.57238,-6.85994,Navan,Meath County Council,Leinster,Mid-East,Townland
464,Aghatotan,,Cavan,Republic of Ireland,H16,H556111,255659,311123,54.04636,-7.15105,Cootehill,Cavan County Council,Ulster,Border,Townland
465,Aghatubbrid,,Donegal,Republic of Ireland,F93,C542453,254268,445384,55.25245,-7.14740,Lifford,Donegal County Council,Ulster,Border,Townland
466,Aghatubrid,Achadh Tiobraid,Kerry,Republic of Ireland,V23,V479729,47935,72995,51.88892,-10.20948,Caherciveen,Kerry County Council,Munster,South-West,Townland
467,Aghatubrid,Achadh Tiobraid,Kerry,Republic of Ireland,V23,V468736,46893,73633,51.89435,-10.22489,Caherciveen,Kerry County Council,Munster,South-West,Town/Village
468,Aghatubrid Beg,Achadh Tiobraide Beag,Cork,Republic of Ireland,P81,W219360,121920,36045,51.57216,-9.12689,Skibbereen,Cork County Council,Munster,South-West,Townland
469,Aghatubrid More,Achadh Tiobraide Mór,Cork,Republic of Ireland,P81,W213357,121358,35719,51.56915,-9.13492,Skibbereen,Cork County Council,Munster,South-West,Townland
470,Aghavadden,Achadh Mhadáin,Leitrim,Republic of Ireland,N41,H091095,209128,309531,54.03498,-7.86144,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
471,Aghavadden,Achadh Mhadáin,Longford,Republic of Ireland,N39,N025612,202546,261240,53.60119,-7.96227,Longford,Longford County Council,Leinster,Midland,Townland
472,Aghavaddy,,Cavan,Republic of Ireland,H12,N469965,246942,296517,53.91602,-7.28636,Cavan,Cavan County Council,Ulster,Border,Townland
473,Aghavadrin,,Cavan,Republic of Ireland,H12,H291066,229196,306612,54.00801,-7.55545,Cavan,Cavan County Council,Ulster,Border,Townland
474,Aghavannagh,,Wicklow,Republic of Ireland,A67,T051889,305142,188931,52.94121,-6.43678,Wicklow,Wicklow County Council,Leinster,Mid-East,Townland
475,Aghavannagh,,Wicklow,Republic of Ireland,Y14,T069870,306943,187039,52.92386,-6.41062,Arklow,Wicklow County Council,Leinster,Mid-East,Townland
476,Aghavannagh Mountain,,Wicklow,Republic of Ireland,Y14,T028892,302877,189212,52.94417,-6.47037,Arklow,Wicklow County Council,Leinster,Mid-East,Townland
477,Aghavannan Far,,Donegal,Republic of Ireland,F92,C287285,228796,428579,55.10365,-7.54962,Letterkenny,Donegal County Council,Ulster,Border,Townland
478,Aghavannan Near,,Donegal,Republic of Ireland,F92,C292283,229279,428370,55.10175,-7.54207,Letterkenny,Donegal County Council,Ulster,Border,Townland
479,Aghavanny,Achadh an Mhanaigh,Leitrim,Republic of Ireland,F91,G994445,199434,344565,54.34979,-8.00944,Sligo,Leitrim County Council,Connacht,Border,Townland
480,Aghavas,Achadh an Mheasa,Leitrim,Republic of Ireland,H12,H187010,218711,301000,53.95808,-7.71571,Cavan,Leitrim County Council,Connacht,Border,Townland
481,Aghavas,Achadh an Mheasa,Leitrim,Republic of Ireland,H12,H185007,218566,300798,53.95627,-7.71793,Cavan,Leitrim County Council,Connacht,Border,Town/Village
482,Aghaveagh,Achadh Bheithe,Donegal,Republic of Ireland,F93,H069942,206961,394274,54.79629,-7.89253,Lifford,Donegal County Council,Ulster,Border,Townland
483,Aghaveans,,Cavan,Republic of Ireland,H12,N314923,231477,292328,53.87955,-7.52213,Cavan,Cavan County Council,Ulster,Border,Townland
484,Aghavilla,Achadh an Bhile,Cavan,Republic of Ireland,H14,H344155,234468,315516,54.08767,-7.47403,Belturbet,Cavan County Council,Ulster,Border,Townland
485,Aghavilla,Achadh an Bhile,Leitrim,Republic of Ireland,H12,H214060,221413,306048,54.00332,-7.67418,Cavan,Leitrim County Council,Connacht,Border,Townland
486,Aghavilla,Achadh an Bhile,Monaghan,Republic of Ireland,A81,H844063,284427,306396,54.00000,-6.71328,Carrickmacross,Monaghan County Council,Ulster,Border,Townland
487,Aghaville,Áth an Mhíl,Cork,Republic of Ireland,P75,W055451,105520,45100,51.65101,-9.36581,Bantry,Cork County Council,Munster,South-West,Townland
488,Aghaviller,Áth an Bhiolair,Kilkenny,Republic of Ireland,R95,S494350,249463,135002,52.46466,-7.27297,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
489,Aghavine,Áth Mhín,Cork,Republic of Ireland,P25,X038725,203803,72549,51.90563,-7.94547,Midleton,Cork County Council,Munster,South-West,Townland
490,Aghavoghil,Achadh Bhuachaill,Leitrim,Republic of Ireland,F91,G853512,185385,351273,54.40985,-8.22582,Sligo,Leitrim County Council,Connacht,Border,Townland
491,Aghavoher,Achadh an Mhothair,Cavan,Republic of Ireland,H14,H286151,228650,315104,54.08433,-7.56298,Belturbet,Cavan County Council,Ulster,Border,Townland
492,Aghavoneen,,Westmeath,Republic of Ireland,N37,N121369,212173,236963,53.38293,-7.81781,Athlone,Westmeath County Council,Leinster,Midland,Townland
493,Aghavore,Achadh Mhór,Leitrim,Republic of Ireland,H12,H262032,226247,303283,53.97826,-7.60070,Cavan,Leitrim County Council,Connacht,Border,Townland
494,Aghavrin,Achadh Bhrain,Cork,Republic of Ireland,P12,W436755,143633,75581,51.93003,-8.82017,Macroom,Cork County Council,Munster,South-West,Townland
495,Aghawaracahill,,Roscommon,Republic of Ireland,N41,M965940,196571,294044,53.89591,-8.05290,Carrick-On-Shannon,Roscommon County Council,Connacht,West,Townland
496,Aghaward,Áth an Bhaird,Longford,Republic of Ireland,N39,N230829,223039,282971,53.79593,-7.65113,Longford,Longford County Council,Leinster,Midland,Townland
497,Aghaward,Achadh an Bhaird,Mayo,Republic of Ireland,F26,M285994,128555,299433,53.93941,-9.08864,Ballina,Mayo County Council,Connacht,West,Townland
498,Aghaway,,Cavan,Republic of Ireland,H16,H535079,253570,307912,54.01774,-7.18349,Cootehill,Cavan County Council,Ulster,Border,Townland
499,Aghawee,,Cavan,Republic of Ireland,A82,N433927,243339,292707,53.88210,-7.34172,Kells,Cavan County Council,Ulster,Border,Townland
500,Aghawee,,Donegal,Republic of Ireland,F93,H294965,229417,396559,54.81600,-7.54318,Lifford,Donegal County Council,Ulster,Border,Townland
501,Aghaweely Lower,,Cavan,Republic of Ireland,H12,N393940,239331,294095,53.89489,-7.40248,Cavan,Cavan County Council,Ulster,Border,Townland
502,Aghaweely Upper,,Cavan,Republic of Ireland,H12,N387956,238761,295623,53.90867,-7.41096,Cavan,Cavan County Council,Ulster,Border,Townland
503,Aghaweenagh,,Cavan,Republic of Ireland,H14,H270142,227066,314240,54.07666,-7.58725,Belturbet,Cavan County Council,Ulster,Border,Townland
504,Aghawerriny,,Roscommon,Republic of Ireland,F42,M943721,194318,272122,53.69894,-8.08677,Roscommon,Roscommon County Council,Connacht,West,Townland
505,Aghawillin,Achadh an Mhuilinn,Leitrim,Republic of Ireland,N41,H177140,217787,314032,54.07519,-7.72901,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
506,Aghawillin,Achadh an Mhuilinn,Leitrim,Republic of Ireland,H12,H231010,223130,301044,53.95829,-7.64839,Cavan,Leitrim County Council,Connacht,Border,Townland
507,Aghawinnaun,Achadh an Bhuinneáin,Clare,Republic of Ireland,H91,M307053,130758,205309,53.09417,-9.03431,Galway,Clare County Council,Munster,Mid-West,Townland
508,Aghawonan,,Cavan,Republic of Ireland,A82,N496850,249647,285048,53.81274,-7.24705,Kells,Cavan County Council,Ulster,Border,Townland
509,Aghawoney,,Donegal,Republic of Ireland,F92,C172218,217251,421806,55.04335,-7.73090,Letterkenny,Donegal County Council,Ulster,Border,Townland
510,Aghayeevoge,Achadh Dhíobhóg,Donegal,Republic of Ireland,F94,G731794,173109,379413,54.66213,-8.41746,Donegal,Donegal County Council,Ulster,Border,Townland
511,Aghclare,Áth Chláir,Kilkenny,Republic of Ireland,R95,S676449,267619,144909,52.55173,-7.00387,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
512,Aghcross,,Laois,Republic of Ireland,R93,S642806,264231,180641,52.87318,-7.04683,Carlow,Laois County Council,Leinster,Midland,Townland
513,Aghduff,,Laois,Republic of Ireland,R32,S246958,224629,195873,53.01331,-7.63379,Portlaoise,Laois County Council,Leinster,Midland,Townland
514,Agheeshal,Achadh Íseal,Monaghan,Republic of Ireland,A75,H832146,283231,314654,54.07437,-6.72926,Castleblayney,Monaghan County Council,Ulster,Border,Townland
515,Aghenderry,Achadh an Doire,Kilkenny,Republic of Ireland,R95,S447494,244799,149404,52.59447,-7.33965,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
516,Agher,Achair,Meath,Republic of Ireland,A83,N837454,283730,245431,53.45252,-6.74039,Enfield,Meath County Council,Leinster,Mid-East,Townland
517,Agheracalkill,Eachaire Collchoille,Monaghan,Republic of Ireland,H18,H597377,259746,337704,54.28467,-7.08339,Monaghan,Monaghan County Council,Ulster,Border,Townland
518,Agheragh,,Meath,Republic of Ireland,A82,N715933,271505,293357,53.88483,-6.91334,Kells,Meath County Council,Leinster,Mid-East,Townland
519,Agherakeltan,Eachaire Coillteán,Monaghan,Republic of Ireland,H18,H590384,259017,338455,54.29150,-7.09444,Monaghan,Monaghan County Council,Ulster,Border,Townland
520,Agheralane,Eachaire Leathan,Monaghan,Republic of Ireland,A75,H725184,272522,318481,54.11036,-6.89190,Castleblayney,Monaghan County Council,Ulster,Border,Townland
521,Aghern East,Áth Cairn Thoir,Cork,Republic of Ireland,P51,W895936,189504,93630,52.09500,-8.15388,Mallow,Cork County Council,Munster,South-West,Townland
522,Aghern West,Áth Cairn Thiar,Cork,Republic of Ireland,P51,W888934,188836,93453,52.09339,-8.16361,Mallow,Cork County Council,Munster,South-West,Townland
523,Aghfarrell,Áth Fhearaíl,Dublin,Republic of Ireland,D24,O056211,305675,221105,53.23009,-6.41830,Dublin,South Dublin County Council,Leinster,Dublin,Townland
524,Aghfarrell,Áth Fhearaíl,Wicklow,Republic of Ireland,D24,O055210,305559,221070,53.22980,-6.42004,Dublin,Wicklow County Council,Leinster,Mid-East,Townland
525,Aghills,An Achaill,Cork,Republic of Ireland,P81,W172349,117232,34982,51.56194,-9.19424,Skibbereen,Cork County Council,Munster,South-West,Townland
526,Aghilly And Lenynarnan,,Donegal,Republic of Ireland,F93,C362321,236215,432161,55.13534,-7.43295,Lifford,Donegal County Council,Ulster,Border,Townland
527,Aghinaspick,Achadh an Easpaig,Longford,Republic of Ireland,N39,N134673,213466,267323,53.65568,-7.79708,Longford,Longford County Council,Leinster,Midland,Townland
528,Aghinillard,Achadh an Iolaird,Monaghan,Republic of Ireland,A81,H781030,278137,303003,53.97052,-6.81005,Carrickmacross,Monaghan County Council,Ulster,Border,Townland
529,Aghinish,Eachinis,Mayo,Republic of Ireland,F31,M153677,115363,267770,53.65302,-9.28078,Ballinrobe,Mayo County Council,Connacht,West,Townland
530,Aghinraheen,Achadh an Ráithín,Kilkenny,Republic of Ireland,R95,S441509,244146,150965,52.60855,-7.34908,Kilkenny,Kilkenny County Council,Leinster,South-East,Townland
531,Aghintamy,Achadh an Tamhain,Monaghan,Republic of Ireland,H18,H708325,270838,332519,54.23668,-6.91435,Monaghan,Monaghan County Council,Ulster,Border,Townland
532,Aghintass,Achadh an Teasa,Leitrim,Republic of Ireland,N41,N026941,202685,294160,53.89696,-7.95989,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
533,Aghinteeduff,Achadh an Tí Duibh,Leitrim,Republic of Ireland,N41,N076854,207698,285419,53.81838,-7.88386,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
534,Aghintemple,Achadh an Teampaill,Longford,Republic of Ireland,N39,N171722,217122,272234,53.69970,-7.74152,Longford,Longford County Council,Leinster,Midland,Townland
535,Aghintober,Achadh an Tobair,Leitrim,Republic of Ireland,N41,G998003,199813,300315,53.95227,-8.00360,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
536,Aghlacon,Achadh Locha Chon,Leitrim,Republic of Ireland,F91,G926382,192615,338206,54.29262,-8.11416,Sligo,Leitrim County Council,Connacht,Border,Townland
537,Aghlattacru,Achadh Leachta Chraobha,Monaghan,Republic of Ireland,A81,H834002,283415,300241,53.94488,-6.73040,Carrickmacross,Monaghan County Council,Ulster,Border,Townland
538,Aghleam,An Eachléim,Mayo,Republic of Ireland,F26,F618211,61841,321144,54.12083,-10.11381,Ballina,Mayo County Council,Connacht,West,Townland
539,Aghleam,An Eachléim,Mayo,Republic of Ireland,F26,F626208,62634,320829,54.11822,-10.10154,Ballina,Mayo County Council,Connacht,West,Town/Village
540,Aghlehard,,Donegal,Republic of Ireland,F92,C216087,221687,408773,54.92611,-7.66250,Letterkenny,Donegal County Council,Ulster,Border,Townland
541,Aghlem,,Donegal,Republic of Ireland,F94,G981785,198125,378552,54.65511,-8.02980,Donegal,Donegal County Council,Ulster,Border,Townland
542,Aghlin,An Eachlainn,Leitrim,Republic of Ireland,N41,H058132,205868,313245,54.06839,-7.91112,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
543,Aghlisk,Eachlaisc,Galway,Republic of Ireland,H54,M458550,145828,255094,53.54319,-8.81789,Tuam,Galway County Council,Connacht,West,Townland
544,Aghloonagh,,Roscommon,Republic of Ireland,F45,M819814,181923,281453,53.78249,-8.27497,Castlerea,Roscommon County Council,Connacht,West,Townland
545,Aghmacart,Achadh Mhic Airt,Laois,Republic of Ireland,R32,S328747,232848,174743,52.82301,-7.51347,Portlaoise,Laois County Council,Leinster,Midland,Townland
546,Aghmagree,Achadh Mac Rí,Roscommon,Republic of Ireland,F42,M919646,191926,264621,53.63151,-8.12278,Roscommon,Roscommon County Council,Connacht,West,Townland
547,Aghmakerr,Achadh Mhic Céir,Monaghan,Republic of Ireland,A75,H764134,276487,313406,54.06420,-6.83257,Castleblayney,Monaghan County Council,Ulster,Border,Townland
548,Aghmanister And Spital,Achadh Mhainistreach agus An Spidéal,Cork,Republic of Ireland,P72,W460416,146056,41697,51.62578,-8.77969,Bandon,Cork County Council,Munster,South-West,Townland
549,Aghnabohy,,Westmeath,Republic of Ireland,N91,N258554,225868,255493,53.54893,-7.61049,Mullingar,Westmeath County Council,Leinster,Midland,Townland
550,Aghnacally,,Cavan,Republic of Ireland,H14,H232242,223212,324280,54.16704,-7.64537,Belturbet,Cavan County Council,Ulster,Border,Townland
551,Aghnacally Glebe,Achadh na Caillí,Longford,Republic of Ireland,N39,N189741,218926,274133,53.71669,-7.71408,Longford,Longford County Council,Leinster,Midland,Townland
552,Aghnaclea,Áth na Cloiche,Monaghan,Republic of Ireland,A75,H701235,270144,323589,54.15657,-6.92707,Castleblayney,Monaghan County Council,Ulster,Border,Townland
553,Aghnacliff,Achadh na Cloiche,Longford,Republic of Ireland,N39,N256883,225613,288320,53.84387,-7.61162,Longford,Longford County Council,Leinster,Midland,Townland
554,Aghnacliff,Achadh na Cloiche,Longford,Republic of Ireland,N39,N260887,226070,288759,53.84779,-7.60464,Longford,Longford County Council,Leinster,Midland,Town/Village
555,Aghnaclue,,Cavan,Republic of Ireland,A82,N676921,267605,292179,53.87477,-6.97289,Kells,Cavan County Council,Ulster,Border,Townland
556,Aghnacollia,Achadh na Coille,Cavan,Republic of Ireland,H14,H130247,213012,324764,54.17174,-7.80150,Belturbet,Cavan County Council,Ulster,Border,Townland
557,Aghnacor,,Cavan,Republic of Ireland,H12,H299027,229970,302759,53.97335,-7.54402,Cavan,Cavan County Council,Ulster,Border,Townland
558,Aghnacranagh,Achadh na Cranncha,Longford,Republic of Ireland,N39,N121642,212133,264260,53.62819,-7.81736,Longford,Longford County Council,Leinster,Midland,Townland
559,Aghnacreevy,,Cavan,Republic of Ireland,H12,H274101,227483,310106,54.03949,-7.58126,Cavan,Cavan County Council,Ulster,Border,Townland
560,Aghnacross,,Laois,Republic of Ireland,R32,S491821,249181,182164,52.88845,-7.27009,Portlaoise,Laois County Council,Leinster,Midland,Townland
561,Aghnacross,Achadh na Croise,Leitrim,Republic of Ireland,N41,N093972,209361,297217,53.92434,-7.85826,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
562,Aghnacross,Áth na Croise,Longford,Republic of Ireland,N39,N030614,203098,261470,53.60326,-7.95395,Longford,Longford County Council,Leinster,Midland,Townland
563,Aghnacue,Achadh Mhic Aodha,Monaghan,Republic of Ireland,H18,H608231,260858,323119,54.15353,-7.06928,Monaghan,Monaghan County Council,Ulster,Border,Townland
564,Aghnadamph,Achadh na nDamh,Monaghan,Republic of Ireland,A75,H869239,286972,323944,54.15719,-6.66945,Castleblayney,Monaghan County Council,Ulster,Border,Townland
565,Aghnadaragan,,Cavan,Republic of Ireland,H12,H512101,251238,310118,54.03779,-7.21870,Cavan,Cavan County Council,Ulster,Border,Townland
566,Aghnadrung,,Cavan,Republic of Ireland,A82,N605885,260516,288542,53.84297,-7.08138,Kells,Cavan County Council,Ulster,Border,Townland
567,Aghnafarcan,Achadh Farcáin,Monaghan,Republic of Ireland,A75,H821133,282156,313360,54.06291,-6.74602,Castleblayney,Monaghan County Council,Ulster,Border,Townland
568,Aghnagap,Achadh na gCeap,Monaghan,Republic of Ireland,H18,H715312,271515,331233,54.22504,-6.90427,Monaghan,Monaghan County Council,Ulster,Border,Townland
569,Aghnagarron,Achadh na gCeathrún,Longford,Republic of Ireland,N39,N330834,233072,283416,53.79939,-7.49884,Longford,Longford County Council,Leinster,Midland,Townland
570,Aghnagillagh,,Meath,Republic of Ireland,N91,N626456,262667,245604,53.45699,-7.05736,Mullingar,Meath County Council,Leinster,Mid-East,Townland
571,Aghnaglear,,Carlow,Republic of Ireland,R95,S774409,277405,140903,52.51443,-6.86056,Kilkenny,Carlow County Council,Leinster,South-East,Townland
572,Aghnaglogh,,Cavan,Republic of Ireland,H16,H562082,256276,308293,54.02088,-7.14215,Cootehill,Cavan County Council,Ulster,Border,Townland
573,Aghnaglogh,,Cavan,Republic of Ireland,H12,H432012,243204,301207,53.95847,-7.34257,Cavan,Cavan County Council,Ulster,Border,Townland
574,Aghnaglogh,Achadh na gCloch,Monaghan,Republic of Ireland,H18,H657262,265787,326259,54.18113,-6.99317,Monaghan,Monaghan County Council,Ulster,Border,Townland
575,Aghnagollop,Achadh na gColpach,Leitrim,Republic of Ireland,N41,G985095,198527,309556,54.03528,-8.02322,Carrick-On-Shannon,Leitrim County Council,Connacht,Border,Townland
576,Aghnagore,Áth na nGabhar,Longford,Republic of Ireland,N39,N064754,206424,275414,53.72851,-7.90341,Longford,Longford County Council,Leinster,Midland,Townland
577,Aghnagrange,Achadh na Gráinsí,Roscommon,Republic of Ireland,F52,G799012,179973,301245,53.96023,-8.30584,Boyle,Roscommon County Council,Connacht,West,Townland
578,Aghnagross,Áth na gCros,Offaly,Republic of Ireland,R42,S019887,201990,188741,52.94979,-7.97113,Birr,Offaly County Council,Leinster,Midland,Townland
579,Aghnaguig,,Cavan,Republic of Ireland,H12,H390132,239021,313281,54.06728,-7.40475,Cavan,Cavan County Council,Ulster,Border,Townland
580,Aghnaha,Eanach na hÁithe,Monaghan,Republic of Ireland,H18,H695465,269513,346517,54.36259,-6.93140,Monaghan,Monaghan County Council,Ulster,Border,Townland
581,Aghnahaha,Achadh na hÁithe,Leitrim,Republic of Ireland,F91,G900479,190082,347993,54.38049,-8.15338,Sligo,Leitrim County Council,Connacht,Border,Townland
582,Aghnahaia Glebe,,Cavan,Republic of Ireland,H12,N432957,243214,295753,53.90947,-7.34319,Cavan,Cavan County Council,Ulster,Border,Townland
583,Aghnahederny,Achadh na hEadarnaí,Cavan,Republic of Ireland,A82,N468892,246851,289260,53.85083,-7.28885,Kells,Cavan County Council,Ulster,Border,Townland
584,Aghnahily,,Laois,Republic of Ireland,R32,S529973,252923,197330,53.02436,-7.21204,Portlaoise,Laois County Council,Leinster,Midland,Townland
585,Aghnahily Bog,,Laois,Republic of Ireland,R32,S512983,251204,198345,53.03364,-7.23748,Portlaoise,Laois County Council,Leinster,Midland,Townland
