id,name,irish_name,county,country,eircode,grid_reference,easting,northing,latitude,longitude,postal_town,local_government_area,province,nuts3_region,type
1329,Ardfert,Ard Fhearta,Kerry,Republic of Ireland,V92,Q794209,79426,120952,52.32739,-9.76931,Tralee,Kerry County Council,Munster,South-West,Townland
1330,Ardfert,Ard Fhearta,Kerry,Republic of Ireland,V92,Q786209,78647,120922,52.32695,-9.78073,Tralee,Kerry County Council,Munster,South-West,Town/Village
1331,Ardfert Oughter,,Kerry,Republic of Ireland,V92,Q776200,77660,120051,52.31890,-9.79487,Tralee,Kerry County Council,Munster,South-West,Townland
1332,Ardfield,Ard Ó bhFicheallaigh,Cork,Republic of Ireland,P85,W369352,136934,35259,51.56697,-8.91024,Clonakilty,Cork County Council,Munster,South-West,Town/Village
1333,Ardfinnan,Ard Fhíonáin,Tipperary,Republic of Ireland,E91,S079180,207906,118069,52.31467,-7.88480,Clonmel,Tipperary County Council,Munster,South-East,Townland
1334,Ardfinnan,Ard Fhíonáin,Tipperary,Republic of Ireland,E91,S079174,207946,117466,52.30925,-7.88422,Clonmel,Tipperary County Council,Munster,South-East,Town/Village
1335,Ardfintan,Ard Fhiontain,Galway,Republic of Ireland,H91,M245477,124552,247797,53.47501,-9.13702,Galway,Galway County Council,Connacht,West,Townland
1336,Ardfrail,,Meath,Republic of Ireland,A82,N538817,253894,281792,53.78306,-7.18314,Kells,Meath County Council,Leinster,Mid-East,Townland
1337,Ardfry,Aird Fhraoigh,Galway,Republic of Ireland,H91,M349212,134994,221209,53.23755,-8.97432,Galway,Galway County Council,Connacht,West,Townland
1338,Ardgaineen,Ard Géinín,Galway,Republic of Ireland,H91,M373403,137357,240303,53.40937,-8.94272,Galway,Galway County Council,Connacht,West,Townland
1339,Ardgallagher,,Roscommon,Republic of Ireland,N41,M974908,197472,290877,53.86747,-8.03917,Carrick-On-Shannon,Roscommon County Council,Connacht,West,Townland
1340,Ardgallin,,Sligo,Republic of Ireland,F52,M754997,175498,299737,53.94649,-8.37389,Boyle,Sligo County Council,Connacht,Border,Townland
1341,Ardgeeha,Ard Gaoithe,Tipperary,Republic of Ireland,E91,S188232,218802,123284,52.36127,-7.72475,Clonmel,Tipperary County Council,Munster,South-East,Townland
1342,Ardgeeha Lower,Ard Gaoithe Íochtarach,Tipperary,Republic of Ireland,E91,S196240,219676,124055,52.36817,-7.71187,Clonmel,Tipperary County Council,Munster,South-East,Townland
1343,Ardgeeha Upper,Ard Gaoithe Uachtarach,Tipperary,Republic of Ireland,E91,S197243,219723,124305,52.37042,-7.71116,Clonmel,Tipperary County Council,Munster,South-East,Townland
1344,Ardgehane,Ard Gaotháin,Cork,Republic of Ireland,P85,W442392,144256,39203,51.60319,-8.80528,Clonakilty,Cork County Council,Munster,South-West,Townland
1345,Ardgehane,Ard Gaotháin,Cork,Republic of Ireland,P81,W134278,113498,27823,51.49705,-9.24633,Skibbereen,Cork County Council,Munster,South-West,Townland
1346,Ardgillan Demesne,Ard Giolláin,Dublin,Republic of Ireland,K34,O218613,321868,261325,53.58781,-6.16041,Skerries,Fingal County Council,Leinster,Dublin,Townland
1347,Ardgillew,,Donegal,Republic of Ireland,F94,G896642,189685,364270,54.52671,-8.16006,Donegal,Donegal County Council,Ulster,Border,Townland
1348,Ardginny,Ard Gainimh,Monaghan,Republic of Ireland,H18,H628513,262803,351375,54.40710,-7.03359,Monaghan,Monaghan County Council,Ulster,Border,Townland
1349,Ardgivna,,Sligo,Republic of Ireland,F91,G488332,148811,333209,54.24522,-8.78596,Sligo,Sligo County Council,Connacht,Border,Townland
1350,Ardglare,Ard gClár,Cork,Republic of Ireland,P67,R858127,185857,112760,52.26683,-8.20789,Mitchelstown,Cork County Council,Munster,South-West,Townland
1351,Ardglass,An tArd Glas,Cork,Republic of Ireland,P56,R487184,148757,118488,52.31610,-8.75215,Charleville,Cork County Council,Munster,South-West,Townland
1352,Ardglass,An tArd Glas,Donegal,Republic of Ireland,F92,C226398,222652,439887,55.20554,-7.64498,Letterkenny,Donegal County Council,Ulster,Border,Townland
1353,Ardglass,,Roscommon,Republic of Ireland,F52,M876985,187610,298571,53.93644,-8.18939,Boyle,Roscommon County Council,Connacht,West,Townland
1354,Ardglassan,Áth Ghlasán,Meath,Republic of Ireland,A82,N635740,263573,274008,53.71205,-7.03794,Kells,Meath County Council,Leinster,Mid-East,Townland
1355,Ardglushin,,Cavan,Republic of Ireland,H16,H498135,249843,313520,54.06849,-7.23942,Cootehill,Cavan County Council,Ulster,Border,Townland
1356,Ardgort,An tArdghort,Cork,Republic of Ireland,P81,V973223,97348,22385,51.44549,-9.47722,Skibbereen,Cork County Council,Munster,South-West,Townland
1357,Ardgoulbeg,Ard Ghabhla Bheag,Limerick,Republic of Ireland,V94,R336442,133664,144225,52.54573,-8.97854,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
1358,Ardgoul North,Ard Ghabhla Thuaidh,Limerick,Republic of Ireland,V94,R340455,134093,145568,52.55785,-8.97248,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
1359,Ardgoul South,Ard Ghabhla Theas,Limerick,Republic of Ireland,V94,R347450,134756,145081,52.55356,-8.96262,Limerick,Limerick City And County Council,Munster,Mid-West,Townland
1360,Ardgraigue,An Ardghráig,Galway,Republic of Ireland,H53,M834143,183498,214305,53.17923,-8.24755,Ballinasloe,Galway County Council,Connacht,West,Townland
1361,Ardgreagh,,Meath,Republic of Ireland,C15,N812599,281224,259954,53.58336,-6.77433,Navan,Meath County Council,Leinster,Mid-East,Townland
1362,Ardgregane,Ard Mhic Riagáin,Tipperary,Republic of Ireland,E45,R817813,181735,181361,52.88316,-8.27204,Nenagh,Tipperary County Council,Munster,Mid-West,Townland
1363,Ardgroom,Dhá Dhrom,Cork,Republic of Ireland,P75,V690550,69001,55098,51.73350,-9.89694,Bantry,Cork County Council,Munster,South-West,Town/Village
1364,Ardgroom Inward,Dhá Dhrom Istigh,Cork,Republic of Ireland,P75,V681561,68148,56102,51.74232,-9.90966,Bantry,Cork County Council,Munster,South-West,Townland
1365,Ardgroom Outward,Dhá Dhrom Amuigh,Cork,Republic of Ireland,P75,V708552,70882,55209,51.73493,-9.86976,Bantry,Cork County Council,Munster,South-West,Townland
1366,Ardhoom,,Mayo,Republic of Ireland,F12,M314990,131499,299037,53.93625,-9.04374,Claremorris,Mayo County Council,Connacht,West,Townland
1367,Ardillaun,Ardoileán,Galway,Republic of Ireland,F31,M128527,112800,252708,53.51731,-9.31532,Ballinrobe,Galway County Council,Connacht,West,Townland
1368,Ardillon,,Westmeath,Republic of Ireland,N91,N460498,246034,249850,53.49685,-7.30710,Mullingar,Westmeath County Council,Leinster,Midland,Townland
1369,Ardinawark,Ard an Amhairc,Donegal,Republic of Ireland,F94,H009843,200990,384399,54.70763,-7.98540,Donegal,Donegal County Council,Ulster,Border,Townland
1370,Ardinode East,Ard an Fhóid,Kildare,Republic of Ireland,W91,N909089,290916,208957,53.12370,-6.64268,Naas,Kildare County Council,Leinster,Mid-East,Townland
1371,Ardinode West,,Kildare,Republic of Ireland,W91,N902085,290280,208545,53.12010,-6.65230,Naas,Kildare County Council,Leinster,Mid-East,Townland
1372,Ardintenant,Ard an Teannáin,Cork,Republic of Ireland,P81,V948309,94862,30981,51.52226,-9.51553,Skibbereen,Cork County Council,Munster,South-West,Townland
1373,Ardivaghan,,Westmeath,Republic of Ireland,N91,N407530,240765,253078,53.52629,-7.38607,Mullingar,Westmeath County Council,Leinster,Midland,Townland
1374,Ardkearagh,Ard Caorach,Kerry,Republic of Ireland,V23,V505630,50565,63049,51.80030,-10.16702,Caherciveen,Kerry County Council,Munster,South-West,Townland
1375,Ardkeel,,Roscommon,Republic of Ireland,F42,M847637,184754,263757,53.62359,-8.23116,Roscommon,Roscommon County Council,Connacht,West,Townland
1376,Ardkeen,Ard Caoin,Mayo,Republic of Ireland,F28,L947893,94733,289380,53.84336,-9.60002,Westport,Mayo County Council,Connacht,West,Townland
1377,Ardkeen,Ard Caoin,Tipperary,Republic of Ireland,E41,S054690,205485,169080,52.77309,-7.91947,Thurles,Tipperary County Council,Munster,Mid-West,Townland
1378,Ardkeenagh,,Roscommon,Republic of Ireland,F52,M822985,182275,298517,53.93580,-8.27062,Boyle,Roscommon County Council,Connacht,West,Townland
1379,Ardkeenagh,,Roscommon,Republic of Ireland,F45,M843810,184366,281001,53.77851,-8.23788,Castlerea,Roscommon County Council,Connacht,West,Townland
1380,Ardkeenan,,Roscommon,Republic of Ireland,N37,M966372,196683,237279,53.38590,-8.05058,Athlone,Roscommon County Council,Connacht,West,Townland
1381,Ardkeeran,,Sligo,Republic of Ireland,F52,G738196,173851,319678,54.12556,-8.40070,Boyle,Sligo County Council,Connacht,Border,Townland
1382,Ardkeeran,,Sligo,Republic of Ireland,F56,G644119,164479,311937,54.05545,-8.54313,Ballymote,Sligo County Council,Connacht,Border,Townland
1383,Ardkill,,Kildare,Republic of Ireland,W91,N703351,270300,235155,53.36216,-6.94479,Naas,Kildare County Council,Leinster,Mid-East,Townland
1384,Ardkill,Ard Choille,Mayo,Republic of Ireland,F31,M265625,126558,262598,53.60825,-9.11028,Ballinrobe,Mayo County Council,Connacht,West,Townland
1385,Ardkill,,Roscommon,Republic of Ireland,F45,M567957,156746,295733,53.90929,-8.65889,Castlerea,Roscommon County Council,Connacht,West,Townland
1386,Ardkill,,Sligo,Republic of Ireland,F91,G464333,146443,333337,54.24613,-8.82230,Sligo,Sligo County Council,Connacht,Border,Townland
1387,Ardkill Beg,Ardchoill Bheag,Cavan,Republic of Ireland,H12,N441969,244193,296981,53.92043,-7.32812,Cavan,Cavan County Council,Ulster,Border,Townland
1388,Ardkilleen,Ard Cillín,Cork,Republic of Ireland,P47,W331565,133162,56530,51.75769,-8.96870,Cork - Dunmanway,Cork County Council,Munster,South-West,Townland
1389,Ardkill More,Ardchoill Mhór,Cavan,Republic of Ireland,H12,N434967,243408,296782,53.91870,-7.34009,Cavan,Cavan County Council,Ulster,Border,Townland
1390,Ardkilly,Ard Coille,Cork,Republic of Ireland,P17,W632477,163242,47758,51.68163,-8.53217,Kinsale,Cork County Council,Munster,South-West,Townland
